id,train_id,station_id,departure_time
1,1,1,7:00
2,1,2,7:10
3,1,3,7:20
4,1,4,7:30
5,2,1,17:00
6,2,2,17:10
7,2,3,17:20
8,2,4,17:30
9,3,4,8:00
10,3,3,8:10
11,3,2,8:20
12,3,1,8:30
13,4,4,18:00
14,4,3,18:10
15,4,2,18:20
16,4,1,18:30
17,5,5,9:00
18,5,6,9:11
19,5,7,9:22
20,5,8,9:33
21,5,9,9:44
22,6,5,19:00
23,6,6,19:11
24,6,7,19:22
25,6,9,19:39
26,7,9,10:00
27,7,8,10:11
28,7,7,10:22
29,7,6,10:33
30,7,5,10:44
31,8,9,20:00
32,8,7,20:17
33,8,6,20:28
34,8,5,20:39
35,9,1,7:02
36,9,2,7:12
37,9,3,7:22
38,9,4,7:32
39,10,4,8:02
40,10,3,8:12
41,10,2,8:22
42,10,1,8:32
43,11,5,9:12
44,11,6,9:22
45,11,7,9:32
46,11,8,9:42
47,11,9,9:52
48,12,9,10:02
49,12,8,10:12
50,12,7,10:22
51,12,6,10:32
52,12,5,10:42
53,13,1,7:04
54,13,2,7:14
55,13,3,7:24
56,13,4,7:34
57,14,4,8:04
58,14,3,8:14
59,14,2,8:24
60,14,1,8:34
61,15,5,9:14
62,15,6,9:24
63,15,7,9:34
64,15,8,9:44
65,15,9,9:54
66,16,9,10:04
67,16,8,10:14
68,16,7,10:24
69,16,6,10:34
70,16,5,10:44
